syscall_type
execve
brk
brk
mmap
mmap
mmap
access
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
read
close
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
fstat
mmap
close
read
fstat
mmap
mprotect
mprotect
mmap
close
read
fstat
mmap
mmap
mmap
mmap
close
read
fstat
mmap
mprotect
mprotect
mmap
close
read
fstat
mmap
mmap
mprotect
mprotect
mmap
close
read
fstat
mmap
mprotect
mprotect
mmap
close
read
fstat
mmap
mmap
mprotect
mprotect
mmap
close
read
fstat
mmap
mprotect
mprotect
mmap
close
read
close
read
fstat
mmap
mprotect
mprotect
mmap
mmap
close
read
close
read
fstat
mmap
mmap
mprotect
mprotect
mmap
mmap
close
read
fstat
mmap
mprotect
mprotect
mmap
mmap
close
read
close
read
fstat
mmap
mprotect
mprotect
mmap
close
read
fstat
mmap
mmap
mprotect
mprotect
mmap
close
read
close
read
fstat
mmap
mprotect
mprotect
mmap
mmap
close
read
close
read
fstat
mmap
mprotect
mprotect
mmap
mmap
close
read
close
read
fstat
mmap
mmap
mprotect
mprotect
mmap
close
read
fstat
mmap
mprotect
mprotect
mmap
close
stat
stat
stat
stat
read
fstat
mmap
mmap
mprotect
mprotect
mmap
close
read
close
read
fstat
mmap
mprotect
mprotect
mmap
close
mmap
mmap
mmap
access
access
mprotect
mprotect
mprotect
mprotect
mprotect
mprotect
mprotect
mprotect
mmap
mprotect
mprotect
mprotect
mprotect
mprotect
mprotect
mprotect
mprotect
stat
mprotect
mprotect
mmap
mmap
mmap
mprotect
mprotect
munmap
munmap
getrlimit
getrlimit
brk
brk
brk
brk
futex
futex
mmap
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
stat
openat
openat
getdents
getdents
stat
getdents
getdents
close
close
openat
openat
getdents
getdents
getdents
getdents
getdents
getdents
getdents
getdents
getdents
getdents
getdents
getdents
getdents
getdents
getdents
getdents
getdents
getdents
getdents
getdents
close
close
openat
openat
getdents
getdents
open
open
read
read
read
read
brk
brk
brk
brk
read
